"question_id","content_id","question_number","answer_before","answer_after","before_option","after_option","options","evidence","verdict","question_text"
"23","22","3","2","1","270도","180도","[""90도"",""180도"",""270도"",""360도""]","1based","ONE_EXPLAIN","삼각형의 내각의 합은?"
"24","22","4","3","2","10000m","1000m","[""10m"",""100m"",""1000m"",""10000m""]","1based","ONE_EXPLAIN","1km는 몇 m인가?"
"25","22","5","1","0","1/5","1/2","[""1/2"",""1/5"",""5/10"",""1/3""]","1based","ONE_EXPLAIN","소수 0.5를 분수로 나타내면?"
"26","28","1","1","0","10710","10720","[""10720"",""10710"",""10620"",""10820""]","1based","ONE_EXPLAIN","큰 수의 덧셈 7258+3462의 값은?"
"27","28","2","3","2","180도","90도","[""45도"",""60도"",""90도"",""180도""]","1based","ONE_EXPLAIN","직각은 몇 도인가?"
"28","28","3","2","1","270도","180도","[""90도"",""180도"",""270도"",""360도""]","1based","ONE_EXPLAIN","삼각형의 내각의 합은?"
"29","28","4","3","2","10000m","1000m","[""10m"",""100m"",""1000m"",""10000m""]","1based","ONE_EXPLAIN","1km는 몇 m인가?"
"30","28","5","1","0","1/5","1/2","[""1/2"",""1/5"",""5/10"",""1/3""]","1based","ONE_EXPLAIN","소수 0.5를 분수로 나타내면?"
"31","34","1","1","0","10710","10720","[""10720"",""10710"",""10620"",""10820""]","1based","ONE_EXPLAIN","큰 수의 덧셈 7258+3462의 값은?"
"32","34","2","3","2","180도","90도","[""45도"",""60도"",""90도"",""180도""]","1based","ONE_EXPLAIN","직각은 몇 도인가?"
"33","34","3","2","1","270도","180도","[""90도"",""180도"",""270도"",""360도""]","1based","ONE_EXPLAIN","삼각형의 내각의 합은?"
"34","34","4","3","2","10000m","1000m","[""10m"",""100m"",""1000m"",""10000m""]","1based","ONE_EXPLAIN","1km는 몇 m인가?"
"35","34","5","1","0","1/5","1/2","[""1/2"",""1/5"",""5/10"",""1/3""]","1based","ONE_EXPLAIN","소수 0.5를 분수로 나타내면?"
"36","40","1","1","0","10710","10720","[""10720"",""10710"",""10620"",""10820""]","1based","ONE_EXPLAIN","큰 수의 덧셈 7258+3462의 값은?"
"37","40","2","3","2","180도","90도","[""45도"",""60도"",""90도"",""180도""]","1based","ONE_EXPLAIN","직각은 몇 도인가?"
"38","40","3","2","1","270도","180도","[""90도"",""180도"",""270도"",""360도""]","1based","ONE_EXPLAIN","삼각형의 내각의 합은?"
"39","40","4","3","2","10000m","1000m","[""10m"",""100m"",""1000m"",""10000m""]","1based","ONE_EXPLAIN","1km는 몇 m인가?"
"40","40","5","1","0","1/5","1/2","[""1/2"",""1/5"",""5/10"",""1/3""]","1based","ONE_EXPLAIN","소수 0.5를 분수로 나타내면?"
"52","68","1","2","1","3개","2개","[""1개"",""2개"",""3개"",""4개""]","1based","ONE_EXPLAIN","""하늘""에서 모음의 개수는?"
"66","82","1","2","1","523","623","[""613"",""623"",""523"",""633""]","1based","ONE_EXPLAIN","345 + 278 = ?"
"67","83","1","1","0","345","335","[""335"",""345"",""325"",""435""]","1based","ONE_EXPLAIN","502 - 167 = ?"
"68","84","1","2","1","63","56","[""54"",""56"",""63"",""48""]","1based","ONE_EXPLAIN","7 × 8 = ?"
"69","85","1","4","3","(범위밖)","1/2","[""1/3"",""2/5"",""3/8"",""1/2""]","ambiguous","MANUAL_INCLUDE","다음 중 가장 큰 분수는?"
"70","86","1","2","1","4.13","4.3","[""3.3"",""4.3"",""4.13"",""3.13""]","1based","ONE_EXPLAIN","2.5 + 1.8 = ?"
"71","87","1","2","1","3/6","3/4","[""2/4"",""3/4"",""3/6"",""4/6""]","1based","ONE_EXPLAIN","6/8을 약분하면?"
"75","91","1","3","2","30000","3000","[""30"",""300"",""3000"",""30000""]","1based","ONE_EXPLAIN","3 km = ? m"
"79","95","1","3","2","180°","90°","[""45°"",""60°"",""90°"",""180°""]","1based","ONE_EXPLAIN","직각은 몇 도인가요?"
"80","96","1","1","0","5:3","3:5","[""3:5"",""5:3"",""3:8"",""8:3""]","1based","ONE_EXPLAIN","사과 3개, 배 5개일 때 사과와 배의 비는?"
"82","98","1","3","2","10","9","[""6"",""8"",""9"",""10""]","1based","ONE_EXPLAIN","3:4 = x:12 에서 x의 값은?"
"85","101","1","3","2","10000","1000","[""10"",""100"",""1000"",""10000""]","1based","ONE_EXPLAIN","1 L = ? mL"
"89","105","1","3","2","15","14","[""12"",""13"",""14"",""15""]","1based","ONE_EXPLAIN","2, 5, 8, 11, ? 다음에 올 수는?"
"90","106","1","3","2","6가지","4가지","[""2가지"",""3가지"",""4가지"",""6가지""]","1based","ONE_EXPLAIN","동전 2개를 동시에 던질 때 나올 수 있는 경우의 수는?"
"107","123","1","3","2","1953년","1950년","[""1945년"",""1948년"",""1950년"",""1953년""]","1based","ONE_EXPLAIN","6·25 전쟁이 일어난 해는?"
"138","154","1","3","2","50","15","[""5"",""13"",""15"",""50""]","1based","ONE_EXPLAIN","""Fifteen""은 숫자로?"
"210","186","1","2","1","3/5","5/6","[""2/5"",""5/6"",""3/5"",""1/6""]","1based","ONE_EXPLAIN","1/2 + 1/3의 값은?"
"217","193","1","2","1","58","56","[""54"",""56"",""58"",""64""]","1based","ONE_EXPLAIN","7 × 8 = ?"
"218","193","2","2","1","56","54","[""45"",""54"",""56"",""63""]","1based","ONE_EXPLAIN","6 × 9 = ?"
"219","193","3","3","2","63","56","[""48"",""54"",""56"",""63""]","1based","ONE_EXPLAIN","8 × 7 = ?"
"220","193","4","2","1","89","81","[""72"",""81"",""89"",""99""]","1based","ONE_EXPLAIN","9 × 9 = ?"
"221","193","5","3","2","32","28","[""24"",""27"",""28"",""32""]","1based","ONE_EXPLAIN","4 × 7 = ?"
"225","195","1","1","0","②2²×3","①2³×3","[""①2³×3"",""②2²×3"",""③2×3²"",""④2×3×4""]","1based","ONE_EXPLAIN","24를 소인수분해하면?"
"226","195","2","2","1","③2³×3","②2²×3²","[""①2²×9"",""②2²×3²"",""③2³×3"",""④6²""]","1based","ONE_EXPLAIN","36의 소인수분해는?"
"227","196","1","2","1","③1","②-1","[""①-5"",""②-1"",""③1"",""④5""]","ambiguous","MANUAL_INCLUDE","-3보다 2만큼 큰 수는?"
"228","196","2","4","3","(범위밖)","④√2","[""①0"",""②-5"",""③3/4"",""④√2""]","ambiguous","MANUAL_INCLUDE","다음 중 유리수가 아닌 것은?"
"230","197","2","3","2","④20","③15","[""①5"",""②10"",""③15"",""④20""]","1based","ONE_EXPLAIN","x-5=10을 풀면 x=?"
"231","198","1","2","1","③6","②4","[""①2"",""②4"",""③6"",""④8""]","1based","ONE_EXPLAIN","두 직선이 한 점에서 만날 때의 각의 개수는?"
"232","199","1","2","1","③90°","②60°","[""①45°"",""②60°"",""③90°"",""④120°""]","1based","ONE_EXPLAIN","정삼각형 한 내각의 크기는?"
"233","200","1","3","2","④0.3333","③0.333...","[""①0.3"",""②0.33"",""③0.333..."",""④0.3333""]","1based","ONE_EXPLAIN","1/3을 소수로 나타내면?"
"236","202","1","3","2","④8","③7","[""①5"",""②6"",""③7"",""④8""]","1based","ONE_EXPLAIN","y=2x+1에서 x=3일 때 y=?"
"245","210","1","1","0","②2x+1","①2x+3","[""①2x+3"",""②2x+1"",""③x+3"",""④2x""]","1based","ONE_EXPLAIN","(x+1)+(x+2)=?"
"248","213","1","3","2","④7","③5","[""①3"",""②4"",""③5"",""④7""]","1based","ONE_EXPLAIN","점(0,0)과 (3,4) 사이의 거리는?"
"8265","6441","1","4","3","□×3-1=△","△-□=5","[""□+3=△"",""□×2+2=△"",""□+5=△"",""△-□=5"",""□×3-1=△""]","1based","ONE_EXPLAIN","표: □: 3, 6, 9, 12 / △: 8, 11, 14, 17. 이 표의 규칙으로 알맞은 것은?"
"8268","6444","1","2","1","배열의 가장 큰 수를 찾는다","배열에서 변하는 두 양을 파악한다","[""배열의 합을 구한다"",""배열에서 변하는 두 양을 파악한다"",""배열의 가장 큰 수를 찾는다"",""배열의 평균을 계산한다"",""배열의 색깔을 분류한다""]","1based","ONE_EXPLAIN","규칙적인 배열에서 두 양의 대응 관계를 찾을 때 가장 먼저 해야 할 일은?"
"9820","7996","1","3","2","7 cm","0 cm","[""5 cm"",""10 cm"",""0 cm"",""7 cm""]","1based","ONE_EXPLAIN","선분 CD의 길이가 □ cm일 때, C와 D 사이를 □만큼 이었습니다. □ 안에 들어갈 수 없는 것은?"
"9869","8045","1","1","0","3x - 2","3x + 2","[""3x + 2"",""3x - 2"",""x + 3 + 2"",""3 + x × 2""]","1based","ONE_EXPLAIN","수지네 반에서 1인당 x권의 책을 나눠 가질 때, 3명이 가져가고 2권이 남았다면 처음 책의 수를 나타내는 식은?"
"10010","8186","1","3","2","~p→q","~q→~p","[""q→p"",""~p→~q"",""~q→~p"",""~p→q""]","1based","ONE_EXPLAIN","명제 p→q의 대우로 옳은 것은?"
"10033","8209","1","2","1","필요충분조건","필요조건","[""충분조건"",""필요조건"",""필요충분조건"",""역조건""]","1based","ONE_EXPLAIN","'x가 정수이다'가 'x가 자연수이다'이기 위한 □이다. □에 알맞은 것은?"
"10045","8221","1","2","1","4","6","[""5"",""6"",""4"",""7""]","1based","ONE_EXPLAIN","일차함수 y = 3x + 1에서 x의 값이 2만큼 증가할 때, y의 증가량은?"
"10058","8234","1","1","0","140","150","[""150"",""140"",""160"",""170""]","1based","ONE_EXPLAIN","수영장 수위가 매 시간 일정하게 낮아지고 있다. 처음 수위는 200cm이고 1시간마다 5cm씩 낮아진다면, 10시간 후 수위는 몇 cm인가?"
"10077","8253","1","2","1","3","5","[""4"",""5"",""3"",""6""]","1based","ONE_EXPLAIN","두 점 (-2, 1)과 (2, 9)를 지나는 일차함수의 y절편은?"
"10099","8275","1","2","1","분자가 분모보다 큰 분수이다.","분자가 분모보다 작은 분수이다.","[""분자와 분모가 같은 분수이다."",""분자가 분모보다 작은 분수이다."",""분자가 분모보다 큰 분수이다."",""분모가 1인 분수이다.""]","1based","ONE_EXPLAIN","진분수에 대한 설명으로 알맞은 것은?"
"10150","8326","1","1","0","20","24","[""24"",""20"",""18"",""26""]","1based","ONE_EXPLAIN","반지름이 13인 원에서 원의 중심으로부터 현까지의 거리가 5일 때, 현의 길이를 구하면?"
"10154","8330","1","2","1","r","AB/2","[""AB"",""AB/2"",""r"",""r/2""]","1based","ONE_EXPLAIN","원의 중심 O, 반지름 r, 현 AB에서 중심 O에서 AB에 내린 수선의 발을 M이라 하면 AM=□이다. □ 안에 알맞은 것은?"
"10183","8359","1","1","0","2:1","1:2","[""1:2"",""2:1"",""1:1"",""1:4""]","1based","ONE_EXPLAIN","같은 원에서 호 PQ에 대한 원주각이 45°이고, 호 RS에 대한 원주각이 90°이면 두 호의 길이의 비 PQ:RS는?"
"10372","8548","1","1","0","7","8","[""8"",""7"",""6"",""9""]","1based","ONE_EXPLAIN","648÷□=81일 때 □ 안에 알맞은 수는?"
"10575","8751","1","1","0","n(A) < n(B)","n(A) > n(B)","[""n(A) > n(B)"",""n(A) < n(B)"",""n(A) = n(B)"",""비교 불가""]","1based","ONE_EXPLAIN","집합 A = {x | x는 20 이하의 소수}의 원소의 개수와 집합 B = {x | x는 15 이하의 자연수 중 3의 배수}의 원소의 개수를 비교할 때 옳은 것은?

① n(A) > n(B)
② n(A) < n(B)"
"10578","8754","1","2","1","A, C, B","B, C, A","[""C, B, A"",""B, C, A"",""A, C, B"",""B, A, C""]","1based","ONE_EXPLAIN","세 집합의 원소의 개수에 대해 n(A) = 5, n(B) = 3, n(C) = 4라 할 때, 원소의 개수를 작은 순서대로 나열한 것은?

① C, B, A
② B, C, A
③ A, C, B
④ B, A, C"
"10579","8755","1","1","0","부분집합","진부분집합","[""진부분집합"",""부분집합"",""전체집합"",""공집합""]","1based","ONE_EXPLAIN","다음 설명에 알맞은 용어는?
'집합 A의 모든 원소가 집합 B에 속하고, B의 모든 원소도 A에 속할 때, 즉 A와 B의 원소가 완전히 일치하지 않는 A⊂B인 관계'

① 진부분집합
② 부분집합
③ 전체집합
④ 공집"
"10589","8765","1","2","1","{1, 2, 5, 6}","{3, 4}","[""{1, 2, 3, 4, 5, 6}"",""{3, 4}"",""{1, 2, 5, 6}"",""{1, 2, 3, 4, 5}""]","1based","ONE_EXPLAIN","A = {1, 2, 3, 4}, B = {3, 4, 5, 6}일 때, A∩B = □이다. □에 알맞은 것은?

① {1, 2, 3, 4, 5, 6}
② {3, 4}
③ {1, 2, 5, 6}
④ {1, 2, 3, 4"
"10593","8769","1","1","0","{4, 8}","{2, 6, 12}","[""{2, 6, 12}"",""{4, 8}"",""{2, 4, 6, 8, 12}"",""{2, 6, 8, 12}""]","1based","ONE_EXPLAIN","A = {2, 4, 6, 8}, B = {4, 8, 12}일 때 (A∪B)에서 (A∩B)를 제거한 집합 = □이다. □에 알맞은 것은?

① {2, 6, 12}
② {4, 8}
③ {2, 4, 6, 8, 12}
④ "
"10683","8859","1","3","2","1231","123","[""1"",""12"",""123"",""1231""]","1based","ONE_EXPLAIN","순환소수 0.123123123…의 순환마디는 무엇입니까?"
"10684","8860","1","1","0","0.333…","0.375","[""0.375"",""0.333…"",""0.142857…"",""0.121212…""]","1based","ONE_EXPLAIN","다음 중 유한소수인 것은?"
"10691","8867","1","1","0","33","3","[""3"",""33"",""333"",""0.3""]","1based","ONE_EXPLAIN","분수 1/3을 소수로 나타내면 0.333…이다. 이때 순환마디를 □ 안에 넣으면 □ = ?"
"10696","8872","1","2","1","56","3","[""8"",""3"",""56"",""83""]","1based","ONE_EXPLAIN","분수 5/6을 소수로 나타내면 0.8□□□…이다. 순환마디는?"
"10748","8924","1","1","0","{5,7}","{2,4}","[""{2,4}"",""{5,7}"",""{1,3}"",""{6,8}""]","1based","ONE_EXPLAIN","U={1,2,3,4,5,6,7,8}, A={1,3,5,7}, B={5,6,7,8}일 때, (A∪B)^c = □ 이다."
"10751","8927","1","1","0","A^c∩B^c","A^c∪B^c","[""A^c∪B^c"",""A^c∩B^c"",""(A∩B)^c와 동치인 A^c∪B^c"",""A∪B""]","1based","ONE_EXPLAIN","어느 가게에서 사과를 산 집합 A, 배를 산 집합 B가 있다. ""사과도 사고 배도 산 사람이 아닌 사람""을 드 모르간으로 표현하면?"
"10755","8931","1","1","0","A∪B","A∩B","[""A∩B"",""A∪B"",""A-B"",""A^c""]","1based","ONE_EXPLAIN","벤 다이어그램에서 두 원이 겹치는 영역이 나타내는 집합으로 옳은 것은?"
"10761","8937","1","1","0","3L 200mL","3L 800mL","[""3L 800mL"",""3L 200mL"",""4L 800mL"",""2L 800mL""]","1based","ONE_EXPLAIN","들이 1L 500mL와 2L 300mL를 더한 결과로 알맞은 것은?"
"10768","8944","1","1","0","1/3","3","[""3"",""1/3"",""-1/3"",""-3""]","1based","ONE_EXPLAIN","도로 설계사 진수는 y=3x+1인 도로와 평행한 새 도로를 y=ax+5로 설계하려 한다. 두 도로가 평행하려면 a의 값은?"
"10770","8946","1","2","1","점 (1,1)에서의 거리가 더 크다","같다","[""원점에서의 거리가 더 크다"",""같다"",""점 (1,1)에서의 거리가 더 크다"",""비교할 수 없다""]","1based","ONE_EXPLAIN","원점 O(0,0)에서 직선 3x-4y+10=0까지의 거리와, 점 (1,1)에서 직선 x+0y-3=0까지의 거리를 비교하면?"
"10779","8955","1","1","0","2가지","3가지","[""3가지"",""2가지"",""4가지"",""1가지""]","1based","ONE_EXPLAIN","평면에서 두 직선의 위치 관계의 종류는 모두 몇 가지인가?"
"10786","8962","1","1","0","90°","180°","[""180°"",""90°"",""360°"",""270°""]","1based","ONE_EXPLAIN","다각형에서 내각과 외각의 크기의 합은?"
"10828","9004","1","3","2","12cm","9cm","[""6cm"",""8cm"",""9cm"",""12cm""]","1based","ONE_EXPLAIN","△ABC에서 DE∥BC이고 AD:DB=2:3이다. AE=6cm일 때 EC의 길이는?"
"10898","9074","1","2","1","6cm²","5cm²","[""3cm²"",""5cm²"",""6cm²"",""10cm²""]","1based","ONE_EXPLAIN","선생님이 지아에게 무게중심으로 삼각형이 6개의 같은 넓이 삼각형으로 나뉜다고 했다. 삼각형 전체 넓이가 30cm²일 때 그 중 하나의 넓이는?"
"10900","9076","1","3","2","16cm","12cm","[""6cm"",""8cm"",""12cm"",""16cm""]","1based","ONE_EXPLAIN","나영이의 삼각형에서 무게중심 G와 대변 중점 S 사이의 거리 GS=4cm이다. 꼭짓점에서 S까지의 중선 전체 길이는?"
"10901","9077","1","3","2","원뿔","다면체","[""구"",""원기둥"",""다면체"",""원뿔""]","1based","ONE_EXPLAIN","""평면으로만 둘러싸인 입체도형으로 곡면이 없는 것""을 가리키는 알맞은 용어는?"
"10909","9085","1","2","1","높이","반지름","[""지름"",""반지름"",""높이"",""둘레""]","1based","ONE_EXPLAIN","구의 겉넓이 공식은 4π□²이다. □ 안에 알맞은 것은?"
"10910","9086","1","3","2","168cm³","84cm³","[""19cm³"",""36cm³"",""84cm³"",""168cm³""]","1based","ONE_EXPLAIN","현아가 밑면의 넓이가 12cm², 높이가 7cm인 삼각기둥 모양 조각을 만들었다. 부피는?"
"10924","9100","1","3","2","없다","무겁다","[""가볍다"",""같다"",""무겁다"",""없다""]","1based","ONE_EXPLAIN","양팔저울에서 왼쪽이 오른쪽보다 무거우면 왼쪽이 □이다. □ 안에 알맞은 말은?"
"10925","9101","1","2","1","같다","크다","[""작다"",""크다"",""같다"",""없다""]","1based","ONE_EXPLAIN","가방의 무게가 □kg이고 책의 무게가 3kg이다. 책이 가방보다 가볍다면 □는 3보다 □이다. 두 번째 □에 알맞은 것은?"
"10932","9108","1","3","2","4kg","3kg","[""1kg"",""2kg"",""3kg"",""4kg""]","1based","ONE_EXPLAIN","아버지의 체중이 운동 전 73kg에서 운동 후 70kg으로 줄었다. 줄어든 무게는?"
"11088","9264","1","2","1","7","13","[""8"",""13"",""7"",""10""]","1based","ONE_EXPLAIN","다음을 계산하면 얼마입니까?
3 × (4 + 2) - 5"
"11095","9271","1","3","2","100cm","0.1cm","[""0.01cm"",""10cm"",""0.1cm"",""100cm""]","1based","ONE_EXPLAIN","다음 중 1mm와 같은 의미인 것은?"
"11107","9283","1","3","2","3004mm","34mm","[""340mm"",""304mm"",""34mm"",""3004mm""]","1based","ONE_EXPLAIN","3cm 4mm를 mm로 바르게 나타낸 것은?"
"11115","9291","1","3","2","6020m","6200m","[""62m"",""620m"",""6200m"",""6020m""]","1based","ONE_EXPLAIN","6km 200m를 m로 나타낸 것은?"
"11121","9297","1","3","2","8","6","[""5"",""7"",""6"",""8""]","1based","ONE_EXPLAIN","14 × □ = 84일 때, □ 안에 알맞은 수는?"
"11148","9324","1","3","2","100cm","0.1cm","[""0.01cm"",""10cm"",""0.1cm"",""100cm""]","1based","ONE_EXPLAIN","1mm와 같은 것은?"
"11151","9327","1","3","2","200","18","[""100"",""2"",""18"",""200""]","1based","ONE_EXPLAIN","연필 한 자루의 길이를 어림하면 약 □cm. □에 알맞은 수는?"
"11183","9359","1","3","2","모선","높이","[""반지름"",""지름"",""높이"",""모선""]","1based","ONE_EXPLAIN","원기둥에서 두 밑면 사이의 거리를 무엇이라고 합니까?"
"11185","9361","1","1","0","옆면이 직사각형이다","두 밑면이 서로 합동이고 평행하다","[""두 밑면이 서로 합동이고 평행하다"",""옆면이 직사각형이다"",""밑면의 모양이 원이다"",""꼭짓점이 있다""]","1based","ONE_EXPLAIN","원기둥과 각기둥의 공통점은 무엇입니까?"
"11199","9375","1","3","2","반원","원","[""사각형"",""삼각형"",""원"",""반원""]","1based","ONE_EXPLAIN","지호는 깡통 모양의 물통을 보며 ""이 물통은 원기둥 모양이야""라고 했습니다. 이 물통의 위아래 뚜껑 모양은 무엇입니까?"
"11218","9394","1","3","2","높이","꼭짓점","[""밑면"",""모선"",""꼭짓점"",""높이""]","1based","ONE_EXPLAIN","원뿔에서 뾰족한 꼭짓점을 무엇이라고 합니까?"
"11238","9414","1","2","1","지름","반지름","[""둘레"",""반지름"",""지름"",""호""]","1based","ONE_EXPLAIN","지수는 탁구공을 가지고 놀다가 선생님께 여쭤보았습니다. ""이 탁구공의 가장 넓은 단면의 중심에서 표면까지의 거리는 무엇이라고 하나요?"" 선생님의 대답으로 알맞은 것은?"
"11259","9435","1","3","2","6","8","[""9"",""7"",""8"",""6""]","1based","ONE_EXPLAIN","마름모에서 네 변의 길이가 모두 같습니다. 한 변의 길이가 □ cm일 때, 네 변의 길이의 합이 32cm이라면 □ 안에 알맞은 수는?"
"11287","9463","1","3","2","25cm","20cm","[""10cm"",""15cm"",""20cm"",""25cm""]","1based","ONE_EXPLAIN","한 변의 길이가 5cm인 정사각형을 그릴 때 모든 변의 길이의 합은 얼마입니까?"
"11290","9466","1","3","2","크다, 작다","많다, 적다","[""길다, 짧다"",""무겁다, 가볍다"",""많다, 적다"",""크다, 작다""]","1based","ONE_EXPLAIN","두 그릇의 들이를 비교할 때 사용하는 표현으로 알맞은 것은?"
"11305","9481","1","1","0","2L","1L","[""1L"",""2L"",""10L"",""100L""]","1based","ONE_EXPLAIN","엄마가 1000mL짜리 우유를 샀습니다. 이것은 몇 L입니까?"
"11320","9496","1","3","2","15000mL","1500mL","[""150mL"",""1050mL"",""1500mL"",""15000mL""]","1based","ONE_EXPLAIN","1L 500mL는 몇 mL입니까?"
"11323","9499","1","1","0","3L 500mL","2L 500mL","[""2L 500mL"",""3L 500mL"",""2L 700mL"",""3L 200mL""]","1based","ONE_EXPLAIN","5L 300mL-2L 800mL를 계산하면?"
"11332","9508","1","3","2","5","4","[""2"",""3"",""4"",""5""]","1based","ONE_EXPLAIN","이차방정식 (x-□)²=0의 중근이 x=4일 때 □에 알맞은 수는?"
"11334","9510","1","2","1","6","4","[""2"",""4"",""6"",""8""]","1based","ONE_EXPLAIN","한 변의 길이를 x cm라 할 때, 정사각형 넓이가 16cm²이면 이차방정식 x²=16의 해를 구하시오. 양의 해는?"
"11443","9619","1","2","1","8","10","[""12"",""10"",""8"",""6""]","1based","ONE_EXPLAIN","(□x² + 6x) ÷ 2x = 5x + 3일 때, □에 알맞은 수는?"
"11444","9620","1","3","2","10","12","[""16"",""14"",""12"",""10""]","1based","ONE_EXPLAIN","(15y³ - □y²) ÷ 3y² = 5y - 4일 때, □에 알맞은 수는?"
"11445","9621","1","3","2","6","5","[""3"",""4"",""5"",""6""]","1based","ONE_EXPLAIN","(10a² + 5a) ÷ □a = 2a + 1일 때, □에 알맞은 수는?"
"11522","9698","1","1","0","3√4 m","4√2 m","[""4√2 m"",""3√4 m"",""2√6 m"",""√8 m""]","1based","ONE_EXPLAIN","직사각형 정원의 가로 길이가 3√2 m, 세로 길이가 √2 m이다. 가로와 세로 길이의 합은?"
"11534","9710","1","1","0","30 눈금","60 눈금","[""60 눈금"",""30 눈금"",""90 눈금"",""120 눈금""]","1based","ONE_EXPLAIN","각도기로 60°의 각을 그리려고 한다. 한 변을 그린 뒤 각도기의 어떤 눈금에 점을 찍어야 하는가?"
"11535","9711","1","2","1","0°","90°","[""45°"",""90°"",""0°"",""180°""]","1based","ONE_EXPLAIN","각도기의 0° 눈금을 한 변에 맞추고 90° 눈금에 점을 찍었다. 만들어진 각의 크기는?"
"11538","9714","1","2","1","45","90","[""60"",""90"",""45"",""180""]","1based","ONE_EXPLAIN","직각은 □°이다. □에 알맞은 수는?"
"11543","9719","1","2","1","달걀 모양 거울","정사각형 타일","[""원형 식탁"",""정사각형 타일"",""달걀 모양 거울"",""삼각형 부채(꼭짓점 60°)""]","1based","ONE_EXPLAIN","민호는 집 안에서 직각을 찾았다. 다음 중 직각이 있는 것은?"
"11549","9725","1","2","1","3+5=8","x+3>7","[""2x=10"",""x+3>7"",""3+5=8"",""5-2""]","1based","ONE_EXPLAIN","다음 중 부등식인 것은?"
"11556","9732","1","2","1",">","<","[""="",""<"","">"",""≥""]","1based","ONE_EXPLAIN","a < b일 때, a + 3 □ b + 3 이다. □에 알맞은 것은?"
"11564","9740","1","1","0","b > 6","b ≥ 6","[""b ≥ 6"",""b > 6"",""b ≤ 6"",""b < 6""]","1based","ONE_EXPLAIN","버스 한 대에 최대 40명이 탈 수 있다. 학생 수가 240명일 때, 필요한 버스 대수 b는?"
"11572","9748","1","3","2","x > 1","x > 5","[""x > 3"",""x > -1"",""x > 5"",""x > 1""]","1based","ONE_EXPLAIN","다음 일차부등식의 해를 수직선에 나타낼 때, 가장 오른쪽에서 시작하는 것은?"
"11587","9763","1","1","0","86","97","[""97"",""86"",""75"",""64""]","1based","ONE_EXPLAIN","어떤 두 자리 자연수에서 십의 자리 숫자가 일의 자리 숫자보다 2 크고, 두 수의 합이 20 미만이면, 이 두 자리 수의 최댓값은?"
"11589","9765","1","1","0","5달","6달","[""6달"",""5달"",""4달"",""7달""]","1based","ONE_EXPLAIN","지금 저축액이 15000원이고 매달 3000원씩 저금한다. 몇 달 후 총 저축액이 30000원을 넘으려면 최소 몇 달이 지나야 하는가?"
"11595","9771","1","1","0","y = -4/x","y = 6/x","[""y = 6/x"",""y = -4/x"",""두 그래프의 거리는 같다"",""비교할 수 없다""]","1based","ONE_EXPLAIN","y = 6/x와 y = -4/x의 그래프를 비교할 때, 원점에서 더 멀리 떨어진 그래프는?"
"11606","9782","1","1","0","5개","4개","[""4개"",""5개"",""3개"",""6개""]","1based","ONE_EXPLAIN","쌓기나무를 1층에 1개, 2층에 2개, 3층에 3개씩 쌓는다면 4층에는 몇 개를 쌓아야 하는가?"
"11620","9796","1","3","2","두 대각선 모두 동일한 점에서 교차하여 4등분된다","두 대각선이 서로를 이등분한다","[""두 대각선이 서로 수직으로 만난다"",""두 대각선의 길이가 같다"",""두 대각선이 서로를 이등분한다"",""두 대각선 모두 동일한 점에서 교차하여 4등분된다""]","1based","ONE_EXPLAIN","직사각형, 마름모, 정사각형의 대각선 성질을 비교할 때, 세 도형이 모두 공통으로 갖는 성질은?"
